"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Test - device","22","","74","0","","0"
"8","","2","","16","14","","0"
"0","Test - SystemGroup API","3","","11","0","","0"
"0","Test - ProvisioningRecord","1","","27","0","","0"
"0","Test - StaticGroupMember API","0","","0","1","","0"
